Mac,US,EqHex,Node,Amp,Cab,Lat,Long
200cc89954f4,24.4,0801180000010000fffd000300020001fffdfffcfffc000200030006fffffffa07ff0000fffc0001fffcfffe0002000100000000fffe000100010000ffff0000fffffffe0002ffffffff000200020000fffefffffff8fffdfffeffff000000040000fffd,A1M/1-1A1B,A1MDC,A1MDC04,55.9788975,-3.1855307
200cc89954f4,31,080118000000000000000000000000000000000000000000000000000000000007ff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,A1M/1-1A1B,A1MDC,A1MDC04,55.9788975,-3.1855307
200cc899d238,37.6,0801180000000000000000000000000000000000000000000000ffff0001000207ff00000003fff5fffc0001ffffffff0002fffa0001ffff0000000000000000000100000000000000000000000000000000000000000000000000000000000000000000,A1M/1-1A1B,A1MBH,A1MBH06,55.97891449999999,-3.187468
200cc899d238,24.4,0801180000010001000000000001fffffff80004000bfff8ffef000e0024ffeb07f80000002f00880000fff1fffc000b00310011000200180004fff9fffc00050000fffb00010004000000010000000000010002000100000001ffff0000ffff0001ffff,A1M/1-1A1B,A1MBH,A1MBH06,55.97891449999999,-3.187468
200cc89c0a8c,31,080118000000000000000000000000000000000000000000000000000000000007ff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,A1M/1-1A1B,A1MDC,A1MDC02,55.9789061,-3.1846335
200cc89c0a8c,37.6,080118000000000000000000000000000000000000000000000000000000000007ff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,A1M/1-1A1B,A1MDC,A1MDC02,55.9789061,-3.1846335
20e52ad2bd4c,37.6,08011800001efff8ffbf0021006effc5ff5500610107ff5bfe34012903fefcd47faf0000fac2024702e7ff10ffa500870068ffe3ffc7fe41004eff6fff910089004dff65000f00430029ffbe0015fffd007500130049fff5ffe5ffd20042003a0026001e,A1M/1-1A1B,A1MDF,A1MDF08,55.97813470000001,-3.1854272
20e52ad2bd4c,24.4,0801180000170000ffd7001c005effe6ff7d004e00e1ff88fe8000be0344fef87fbb0000fd72056f01eefd04ff3d01010086ff5c0036009f007cfff9ffc4002e0031ffddfff800250016fffa000800010001fff40022000fffee0015002afffd0021ffff,A1M/1-1A1B,A1MDF,A1MDF08,55.97813470000001,-3.1854272
20e52ad994dc,31,080118000030001affceffae00900078ff59ff3400ec0152fe63fd8e038f04c57ef5000003f0f7f304d7004dfdbafb5608b0fec90091fd8100900074ff96ff3c0056fff10094ff4c00140030004bffd40014fff0fffbfff2fff100120040000200340003,A1M/1-1A1B,A1MBB,A1MBB11,55.9775882,-3.1903538
20e52ad994dc,37.6,080118000023000bffd0fff600640015ff74ffe900e70043fe93ffb10318006b7f9a0000fab3fdba022602160056007700a2f9a7002401c6009d0016000d0035ff880078001e0085006700040013fff800340035005bfff60005ffd2005400320032000b,A1M/1-1A1B,A1MBB,A1MBB11,55.9775882,-3.1903538
2cb05d0e67b0,37.6,080118000018001cfff6fff90033001effd8ffce00430052ffafff74005800947fd70000ffddfd98ff8800b1002dff8e010dfab1fee1fff7010200c1001f0041ffd7ffeaffcd0041003a0010fffd0023000b0026004100150002ffea0039003a0022001f,A1M/1-1A1B,A1MBF,A1MBF08,55.9793798,-3.1937871
2cb05d0e67b0,24.4,080118000041ffcfffb800880074ff33ff78016b00c4fdb6ff3003e90111f91e7e3f000008ca0eaf0145fe0f00de03dd059b023a00c603b8ff9ffede008601f6ffe3ff5a00320031ffe3001000260051fff5001600200005ffe5000c002c00150020000d,A1M/1-1A1B,A1MBF,A1MBF08,55.9793798,-3.1937871
2cb05d13d6ec,37.6,08011800002cffffffdafffb0045000eff8afff000af002eff08ffce022700377f900000fa69fb83002f0016004c00da00c4f8e2ff81ffd000b3ff6000190021ffee001afffb00350019ffd1ffee0011000b00290021fff5ffeffff00052003a000f000d,A1M/1-1A1B,A1MBG,A1MBG08,55.9787285,-3.1918718
2cb05d13d6ec,24.4,08011800003affcdffa3007d0071ff41ff6f017000a0fddbff2703be0142f9687e7b000007e40d64027afddd016a043a04c402f70097035ffff0ff56001f0102fff1ff7ffff9005bffdeffd1001d0036fff4001e002e000ffff500020023000e00150003,A1M/1-1A1B,A1MBG,A1MBG08,55.9787285,-3.1918718
2cb05d184544,31,0801180000030035ffcfffdc0040007eff8bff56007e0141ff12fe1a01f003ed7f38000005f0f9c703ea0112fefffd900841fe02007ffed50072008bffcaff5b0046ffdc0073ff9600060036001dffddffedfffffff5fffaffe8001c0027000e0026000c,A1M/1-1A1B,A1MBB,A1MBB03,55.97693289999999,-3.1908201
2cb05d184544,24.4,08011800004cffc0ffa800750080ff29ff57016f00ebfda1fede042301a9f8497e2b000009530dad03e0fc6900aa04c20520029e00410364002ffea1002d014bfff0ff75000c006cffe3ff9e00360049fff0001c002b0023fff400020019fffe001d0008,A1M/1-1A1B,A1MBB,A1MBB03,55.97693289999999,-3.1908201
4c60de080310,31,08011800002a0000ffbe00170072ffdbff3f005a011cff7afdf700f1048afdb87fb00000fbee041e0262fe20002a0031ffbeffa4fec700ce0086ffd1ffa70028001b003dffe600230035000e001d0005ffeafff6ffe8000900100031002cfff10036fffd,A1M/1-1A1B,A1MDD,A1MDD08,55.9784663,-3.1855175
4c60de080310,24.4,0801180000100003ffe50007005effeaff9f001c00a2ffc2ff0000770217ffc37fd00000fc9a047200e5fea2fde6ffedffd0ffe2fe8effd7007affefffdb0013003400210009000e001a000e0007fff80011fff800250010ffed000e0030000f002effed,A1M/1-1A1B,A1MDD,A1MDD08,55.9784663,-3.1855175
4c60de1913c0,37.6,0801180000340010ffdffff8006c0013ff89fffa00ce001cfed6fff90283fff47fb50000fba7ff4101b10105ff55ff7000d3f9d6ff00009900aa0005ffbc0010ffb90082ff930093004effdffff400220025001b0043000c000bffef0044003d0027001e,A1M/1-1A1B,A1MBB,A1MBB10,55.977336,-3.1911224
4c60de1913c0,24.4,080118000040ffdcffa40079009cff40ff41016d00fafda7fea204110243f8417e21000009670e1a03c0fc60003604650529026ffeb30281fffffe0000640139ffdcff3200420063ffe7ff9500490052ffe2001e002c001fffe4fffd001e000500130004,A1M/1-1A1B,A1MBB,A1MBB10,55.977336,-3.1911224
506a0306c720,31,08011800000000000002fffffffd00040001fff8fffe000b0004ffecfff1002707fd0000ffeaffdcffea001a0007fff0003fffef000bfffdfffd00060004fffb000200010000fffe0000ffffffff000000010000fffeffffffff00000000000100020001,A1M/1-1A1B,A1MBE,A1MBE02,55.9773483,-3.1868454
803773042a3c,37.6,080118000000000000000000000000010000fffdffff00030001fffafffc000b07fe0000000cffd4fff200080000fffe0009ffea0001fff90000000400010000000000000000000000000000000000010000000000000000000000000000000000000000,A1M/1-1A1B,A1MBJ,A1MBJ03,55.9783379,-3.1893383
803773042a3c,24.4,080118000000ffff000000010005fff9fff60009000dffecffed00230023ffbf07f500000018008d0008ffb1000a00190036001e000f0029fffcffef00020008fffafffd00030003ffff000500030000ffff0000fffffffe000100020002fffd00030000,A1M/1-1A1B,A1MBJ,A1MBJ03,55.9783379,-3.1893383
